sample_id,condition,pred,label,correct,confidence,r_state,r_scan,r_task,r_entropy,r_total,gate_action
clean_000,clean,0,0,1,0.5774785876274109,1.0,0.9933496713638306,0.22252143919467926,0.6810928583145142,0.7016449376940728,doctor_review
clean_001,clean,0,1,0,0.5760644674301147,1.0,0.9934285283088684,0.22393546998500824,0.6815305948257446,0.7021724656224251,doctor_review
clean_002,clean,0,0,1,0.5774819850921631,1.0,0.993316650390625,0.2225179821252823,0.6810917854309082,0.7016370818018914,doctor_review
clean_003,clean,0,0,1,0.5776329040527344,1.0,0.993417501449585,0.2223670929670334,0.6810445785522461,0.7016025438904763,doctor_review
clean_004,clean,0,0,1,0.5771926045417786,1.0,0.9934543371200562,0.2228073924779892,0.6811820268630981,0.7017694905400276,doctor_review
blur_000,blur,0,1,0,0.5850696563720703,1.0,0.9925247430801392,0.21493028104305267,0.6786028146743774,0.6987045958638192,PASS
blur_001,blur,0,1,0,0.584596574306488,1.0,0.9924696683883667,0.21540339291095734,0.6787649393081665,0.6988679394125938,PASS
blur_002,blur,0,0,1,0.5862808227539062,1.0,0.992300271987915,0.21371914446353912,0.6781836748123169,0.6982125326991082,PASS
blur_003,blur,0,1,0,0.5838295221328735,1.0,0.9926600456237793,0.21617047488689423,0.6790257692337036,0.6991883054375648,PASS
blur_004,blur,0,1,0,0.584078848361969,1.0,0.992615818977356,0.21592117846012115,0.6789412498474121,0.69908776730299,PASS
noise_000,noise,0,0,1,0.5706125497817993,1.0,0.9936187267303467,0.22938747704029083,0.6831414699554443,0.7041682824492455,doctor_review
noise_001,noise,0,1,0,0.570745587348938,1.0,0.9936302304267883,0.22925440967082977,0.6831036806106567,0.7041231051087379,doctor_review
noise_002,noise,0,0,1,0.5709401965141296,1.0,0.9935733079910278,0.22905980050563812,0.6830481290817261,0.7040422275662421,doctor_review
noise_003,noise,0,0,1,0.5715287923812866,1.0,0.9937886595726013,0.22847114503383636,0.6828792691230774,0.7038749292492866,doctor_review
noise_004,noise,0,1,0,0.5713120698928833,1.0,0.9936163425445557,0.22868798673152924,0.6829416155815125,0.7039179876446724,doctor_review
conflict_000,conflict,0,1,0,0.5778805613517761,1.0,0.9933267831802368,0.22211940586566925,0.680966854095459,0.7014945492148399,doctor_review
conflict_001,conflict,0,1,0,0.5778939127922058,1.0,0.9933515787124634,0.22210608422756195,0.6809626817703247,0.7014946773648262,doctor_review
conflict_002,conflict,0,1,0,0.5773974061012268,1.0,0.9932550191879272,0.22260259091854095,0.6811181306838989,0.7016554072499275,doctor_review
conflict_003,conflict,0,1,0,0.5775426030158997,1.0,0.9933714866638184,0.22245736420154572,0.6810728311538696,0.7016260728240014,doctor_review
conflict_004,conflict,0,0,1,0.5757084488868713,1.0,0.9934442043304443,0.22429154813289642,0.6816394329071045,0.7023041918873787,doctor_review
